none,Essential,FucT,SiaT,GalT,GalNAcT,GlcNAcT,GlcAT,GlcT,ManT,XylT,sulfoT,Ogly,Ngly,GSL,GAG,GPI,transporter,chaperones,metabolite
,C1GALT1,FCSK,ST3GAL1,A4GALT,ABO,A4GNT,B3GAT1,ALG10,ALG1,XYLT1,CHST1,C1GALT1,DPAGT1,UGCG,XYLT1,PIGA,SLC35A1,CALR,ALG5
,GCNT1,FPGT,ST3GAL2,ABO,B3GALNT1,ALG13,B3GAT2,ALG10B,ALG11,XYLT2,CHST10,C1GALT1C1,ALG13,B4GALT6,XYLT2,PIGB,SLC35C1,CANX,AMDHD2
,B3GNT6,FUT1,ST3GAL3,B3GALT1,B3GALNT2,ALG14,B3GAT3,ALG5,ALG12,GXYLT1,CHST11,GCNT1,ALG14,B4GALNT1,B4GALT7,PIGC,SLC35B2,CANX,CMAS
,OGA,FUT2,ST3GAL4,B3GALT2,B4GALNT1,B3GNT2,B4GAT1,ALG6,ALG2,GXYLT2,CHST12,GCNT4,ALG1,B3GALT4,FAM20B,PIGF,SLC35B3,LMAN2,CRPPA
,OGT,FUT3,ST3GAL5,B3GALT4,B4GALNT2,B3GNT3,CHPF,ALG8,ALG3,XXYLT1,CHST13,ST3GAL1,ALG2,B3GNT5,B3GALT6,PIGG,SLC35A2,HSPA5,DPM1
,ALG6,FUT4,ST3GAL6,B3GALT5,B4GALNT3,B3GNT4,CHPF2,B3GLCT,ALG9,LARGE1,CHST14,ST3GAL2,ALG11,B3GALT5,B3GAT3,PIGH,SLC35D1,UGGT1,DPM2
,STT3A,FUT5,ST6GAL1,B3GALT6,B4GALNT4,B3GNT5,CHSY1,POGLUT1,DPM1,LARGE2,CHST15,B3GNT3,RFT1,B4GALT1,CSGALNACT1,PIGK,SLC35A3,UGGT2,DPM3
,MOGS,FUT6,ST6GAL2,B4GALT1,CSGALNACT1,B3GNT6,CHSY3,POGLUT2,DPY19L1,RXYLT1,CHST2,B3GALT5,MPDU1,A4GALT,CSGALNACT2,PIGL,SLC35D2,MOGS,FCSK
,MGAT1,FUT7,ST6GALNAC1,B4GALT2,CSGALNACT2,B3GNT7,EXT1,POGLUT3,DPY19L2,SLC35B4,CHST3,GCNT3,ALG3,B3GALNT1,EXTL3,PIGM,SLC35B4,GANAB,FPGT
,MGAT3,FUT8,ST6GALNAC2,B4GALT3,GALNT1,B3GNT8,EXT2,UGCG,DPY19L3,UXS1,CHST4,B3GNT6,ALG9,UGT8,EXT1,PIGN,SLC35C2,MCFD2,G6PC1
,MGAT5,FUT9,ST6GALNAC3,B4GALT4,GALNT10,DPAGT1,HAS1,UGGT1,DPY19L4,UGDH,CHST5,ST6GALNAC1,ALG12,ST3GAL5,EXT2,PIGO,,LMAN2L,GALE
,NAGPA,GMDS,ST6GALNAC4,B4GALT5,GALNT11,EOGT,HAS2,UGGT2,PIGB,,CHST6,ST6GALNAC2,ALG6,ST8SIA1,EXTL1,PIGP,,OS9,GALK1
,UGCG,POFUT1,ST6GALNAC5,B4GALT6,GALNT12,EXTL1,HAS3,SLC35D2,PIGM,,CHST7,ST6GALNAC3,ALG5,ST8SIA3,EXTL2,PIGQ,,ERLEC1,GALK2
,UGT8,POFUT2,ST6GALNAC6,B4GALT7,GALNT13,EXTL2,LARGE1,GALE,PIGV,,CHST8,ST6GALNAC4,ALG8,ST8SIA5,GLCE,PIGS,,EDEM1,GALT
,B3GALT4,SLC35C1,ST8SIA1,C1GALT1,GALNT14,EXTL3,LARGE2,ALG5,PIGZ,,CHST9,ST6GALNAC5,ALG10,ST6GALNAC1,CHSY1,PIGT,,EDEM2,GCK
,B3GALT5,SLC35C2,ST8SIA2,COLGALT1,GALNT15,GCNT1,SLC35D1,UGP2,POMT1,,GAL3ST1,ST6GALNAC6,STT3A,ST6GALNAC2,CHSY3,PIGU,,EDEM3,GFPT1
,B3GNT5,GFUS,ST8SIA3,COLGALT2,GALNT16,GCNT2,UXS1,,POMT2,,GAL3ST2,,STT3B,ST6GALNAC3,CHPF,PIGV,,MLEC,GFPT2
,B3GALNT1,,ST8SIA4,PLOD3,GALNT17,GCNT3,UGDH,,TMTC1,,GAL3ST3,,MOGS,ST6GALNAC4,UST,PIGW,,GOLGA2,GMDS
,SLC35A1,,ST8SIA5,UGT8,GALNT18,GCNT4,,,TMTC2,,GAL3ST4,,GANAB,ST6GALNAC5,DSE,PIGX,,GOLGA7,GMPPA
,SLC35A2,,ST8SIA6,SLC35A2,GALNT2,GNPTAB,,,TMTC3,,HS2ST1,,CALR,ST6GALNAC6,DSEL,PIGY,,HSP90B1,GMPPB
,SLC35A3,,SLC35A1,GALK1,GALNT3,HAS1,,,TMTC4,,HS3ST1,,CANX,NAGA,HAS1,PIGZ,,IGF2R,GNE
,SLC35C1,,GNE,GALT,GALNT4,HAS2,,,SLC35D2,,HS3ST2,,MAN1B1,HEXA,HAS2,PGAP4,,MANEA,GNPDA1
,SLC35D1,,NANS,GALE,GALNT5,HAS3,,,GMPPA,,HS3ST3A1,,MGAT1,HEXB,HAS3,B3GALT4,,MAN1B1,GNPDA2
,B3GALT6,,CMAS,,GALNT6,LFNG,,,GMPPB,,HS3ST3B1,,UGGT1,GLB1,B3GNT2,DPM2,,SEL1L,GNPNAT1
,EXTL3,,RENBP,,GALNT7,MFNG,,,GMDS,,HS3ST4,,UGGT2,GLA,B3GNT7,GPAA1,,TMEM106B,GPI
,CSGALNACT1,,,,GALNT8,MGAT1,,,DPM1,,HS3ST5,,EDEM1,GBA,HPSE,,,ZDHHC5,HK1
,GCNT2,,,,GALNT9,MGAT2,,,DPM2,,HS3ST6,,EDEM2,GALC,IDS,,,M6PR,HK2
,B3GNT2,,,,GBGT1,MGAT3,,,DPM3,,HS6ST1,,EDEM3,ARSA,IDUA,,,DNAJC3,HK3
,B4GALT1,,,,PGAP4,MGAT4A,,,,,HS6ST2,,GNPTAB,,SGSH,,,DNAJB11,MPI
,FUT1,,,,CHPF,MGAT4B,,,,,HS6ST3,,AGA,,HGSNAT,,,DNAJC10,NAGK
,FUT2,,,,CHSY1,MGAT4C,,,,,TPST1,,FUCA1,,ARSK,,,,NANS
,ABO,,,,CHSY3,MGAT5,,,,,TPST2,,CTBS,,GNS,,,,PGM1
,FUT8,,,,SLC35D1,MGAT5B,,,,,UST,,NEU1,,NAGLU,,,,PGM2
,ST3GAL1,,,,GALK2,OGT,,,,,NDST1,,NEU2,,GUSB,,,,PGM3
,ST6GAL1,,,,UAP1,PIGA,,,,,NDST2,,NEU3,,ARSB,,,,PMM1
,ST6GALNAC2,,,,GALE,POMGNT1,,,,,NDST3,,NEU4,,HEXA,,,,PMM2
,PMM2,,,,,POMGNT2,,,,,NDST4,,GLB1,,HEXB,,,,RENBP
,FUT3,,,,,RFNG,,,,,SLC35B2,,HEXA,,GALNS,,,,GFUS
,FUT7,,,,,EXT1,,,,,SLC35B3,,HEXB,,,,,,UAP1
,ST3GAL4,,,,,EXT2,,,,,PAPSS1,,MAN2B1,,,,,,UGDH
,B3GALNT2,,,,,GCNT7,,,,,PAPSS2,,MAN2B2,,,,,,UGP2
,B4GALNT3,,,,,SLC35A3,,,,,,,MANBA,,,,,,UXS1
,AGA,,,,,SLC35B4,,,,,,,,,,,,,
,HEXA,,,,,SLC35D2,,,,,,,,,,,,,
,HEXB,,,,,UAP1,,,,,,,,,,,,,
,,,,,,GALE,,,,,,,,,,,,,
,,,,,,GNE,,,,,,,,,,,,,